Date,Day Number,Project Number,Counter Number,Location,Direction,Time,AM or PM,Value 01,Value 02
Thursday,2,12203-01,4,150,EAST-WEST,15:00,PM,0,68
Thursday,2,12203-01,4,150,EAST-WEST,15:15,PM,0,67
Thursday,2,12203-01,4,150,EAST-WEST,15:30,PM,0,68
Thursday,2,12203-01,4,150,EAST-WEST,15:45,PM,0,64
Thursday,2,12203-01,4,150,EAST-WEST,07:30,AM,0,41
Thursday,2,12203-01,4,150,EAST-WEST,07:45,AM,0,56
Thursday,2,12203-01,4,150,EAST-WEST,08:00,AM,0,38
Thursday,2,12203-01,4,150,EAST-WEST,08:15,AM,0,52
1000,1,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,14:00,PM,821,432
1000,1,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,14:15,PM,888,483
1000,1,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,14:30,PM,895,515
1000,1,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,14:45,PM,958,534
1000,1,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,16:30,PM,1335,880
1000,1,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,16:45,PM,1457,952
1000,1,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,17:00,PM,1522,1039
1000,1,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,17:15,PM,1394,856
1000,1,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,07:00,AM,1450,404
1000,1,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,07:15,AM,1576,431
1000,1,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,07:30,AM,1474,416
1000,1,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,07:45,AM,1353,412
1000,2,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,14:00,PM,865,447
1000,2,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,14:15,PM,979,563
1000,2,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,14:30,PM,1015,567
1000,2,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,14:45,PM,1083,653
1000,2,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,16:45,PM,1325,882
1000,2,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,17:00,PM,1331,865
1000,2,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,17:15,PM,1365,849
1000,2,12203-01,5,NO MATCH FOUND FOR: 'Location',EAST-WEST,17:30,PM,1435,876
